ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
ama,,60,amm,amm,{},-4.21666666667,141.616666667,Papunesia,,Ama,95,False,False
amahuaca,,55,amc,amc,{},-10.5,-72.5,South America,,Amahuaca,88,False,False
amanab,,61,amn,amn,{},-3.58333333333,141.25,Papunesia,,Amanab,96,False,False
amara,,25,ama,aie,{},-5.66666666667,148.5,Papunesia,,Amara,86,False,False
amarakaeri,,59,amk,amr,{},-12.5,-70.5,South America,,Amarakaeri,93,False,False
ambae lolovoli northeast,,25,aml,omb,{},-15.4166666667,167.883333333,Papunesia,,Ambae (Lolovoli Northeast),94,False,False
ambai,,63,amq,amk,{},-1.83333333333,136.5,Papunesia,,Ambai,99,False,False
ambulas,,54,amb,abt,{},-3.83333333333,143.0,Papunesia,,Ambulas,87,False,False
amdo,,56,amd,adx,{},35.0,100.0,Eurasia,,Amdo,89,False,False
amdo themchen,,56,amt,adx,{},38.0,98.0,Eurasia,,Amdo (Themchen),102,False,False
amele,,57,ame,aey,{},-5.25,145.583333333,Papunesia,,Amele,90,True,True
american sign language,,23,asl,ase,{},39.0,-78.0,North America,,American Sign Language,153,False,False
amharic,,4,amh,amh,{},10.0,38.0,Africa,,Amharic,91,False,False
amis,,58,ami,ami,{},23.3333333333,121.333333333,Papunesia,,Amis,92,False,False
amo,,62,amo,amo,{},10.3333333333,8.66666666667,Africa,,Amo,97,False,False
ampeeli,,73,ape,apz,{},-6.75,146.083333333,Papunesia,,Ampeeli,123,False,False
amuesha,,64,amu,ame,{},-10.5,-75.4166666667,South America,,Amuesha,103,False,False
amuzgo,,65,amz,amu,{},16.8333333333,-98.0,North America,,Amuzgo,105,False,False
anamuxra,,57,amx,imi,{},-4.66666666667,145.0,Papunesia,,Anamuxra,104,False,False
andi,,74,anx,ani,{},42.75,46.25,Eurasia,,Andi,117,False,False
andoke,,24,adk,ano,{},-0.666666666667,-72.0,South America,,Andoke,29,False,False
anejom,,25,anj,aty,{},-20.2,169.8,Papunesia,,Anejom,111,False,False
anem,,68,ane,anz,{},-5.58333333333,149.083333333,Papunesia,,Anêm,108,False,False
angaataha,,73,ant,agm,{},-7.21666666667,146.25,Papunesia,,Angaataha,115,False,False
angami,,33,agm,"njm, nri",{},25.6666666667,94.5,Eurasia,,Angami,44,False,False
angas,,67,anc,anc,{},9.5,9.5,Africa,,Angas,107,False,False
anggor,,69,ang,agg,{},-3.75,141.166666667,Papunesia,,Anggor,109,False,False
angolar,,34,ago,aoa,{},0.25,6.5,Africa,,Angolar,45,False,False
anguthimri,,35,agt,lnj,{},-12.3333333333,141.833333333,Australia,,Anguthimri,47,False,False
ani,,70,ani,hnh,{},-18.9166666667,21.9166666667,Africa,,//Ani,110,False,False
anindilyakwa,,71,ann,aoi,{},-14.0,136.5,Australia,,Anindilyakwa,113,False,False
anong,,72,ano,nun,{},27.3333333333,98.75,Eurasia,,Anong,114,False,False
anufo,,5,anu,cko,{},10.0833333333,0.25,Africa,,Anufo,116,False,False
anyi,,5,ayi,any,{},7.0,-3.5,Africa,,Anyi,188,False,False
anywa,,18,any,anu,{},8.0,33.5,Africa,,Anywa,118,False,False
ao,,33,ao,njo,{},26.5833333333,94.6666666667,Eurasia,,Ao,119,False,False
apache chiricahua,,37,apc,apm,{},33.25,-108.0,North America,,Apache (Chiricahua),122,False,False
apache jicarilla,,37,apj,apj,{},36.5833333333,-104.0,North America,,Apache (Jicarilla),125,False,False
apache western,,37,apw,apw,{},33.75,-110.0,North America,,Apache (Western),130,False,False
apalai,,45,apl,apy,{},0.0,-54.0,South America,,Apalaí,127,False,False
apatani,,76,apt,apt,{},27.5,93.75,Eurasia,,Apatani,128,False,False
apinaye,,75,api,apn,{},-5.5,-48.0,South America,,Apinayé,124,False,False
apucikwar,,43,apk,apq,{},12.1666666667,92.8333333333,Eurasia,,A-Pucikwar,126,False,False
apurina,,77,apu,apu,{},-9.0,-67.0,South America,,Apurinã,129,True,True
arabana,,9,abn,ard,{},-28.25,136.25,Australia,,Arabana,11,False,False
arabela,,79,arb,arl,{},-2.0,-75.1666666667,South America,,Arabela,132,False,False
arabic bahrain,,4,abh,abv,{},26.0,50.5,Eurasia,,Arabic (Bahrain),7,False,False
arabic banihassan,,4,ahs,mey,{},20.0,-10.0,Africa,,Arabic (Bani-Hassan),51,False,False
arabic beirut,,4,abe,apc,{},33.9166666667,35.5,Eurasia,,Arabic (Beirut),6,False,False
arabic borno nigerian,,4,arn,shu,{},8.58333333333,12.4166666667,Africa,,Arabic (Borno Nigerian),142,False,False
arabic chadian,,4,abb,shu,{},13.8333333333,20.8333333333,Africa,,Arabic (Chadian),4,False,False
arabic eastern libyan,,4,ael,ayl,{},32.0,22.0,Africa,,Arabic (Eastern Libyan),36,False,False
arabic egyptian,,4,aeg,arz,{},30.0,31.0,Africa,,Arabic (Egyptian),35,True,True
arabic gulf,,4,arg,afb,{},26.0,49.0,Eurasia,,Arabic (Gulf),135,False,False
arabic hijazi,,4,arh,acw,{},26.0,38.0,Eurasia,,Arabic (Hijazi),136,False,False
arabic iraqi,,4,arq,acm,{},33.0,44.0,Eurasia,,Arabic (Iraqi),145,False,False
arabic kormakiti,,4,ako,acy,{},35.25,33.5,Eurasia,,Arabic (Kormakiti),68,False,False
arabic kuwaiti,,4,arj,afb,{},29.5,47.5,Eurasia,,Arabic (Kuwaiti),138,False,False
arabic lebanese,,4,arl,apc,{},34.0,36.0,Eurasia,,Arabic (Lebanese),140,False,False
arabic modern standard,,4,ams,arb,{},25.0,42.0,Eurasia,,Arabic (Modern Standard),101,False,False
arabic moroccan,,4,amr,ary,{},34.0,-6.0,Africa,,Arabic (Moroccan),100,False,False
arabic negev,,4,arv,ajp,{},30.5,34.75,Eurasia,,Arabic (Negev),148,False,False
arabic north levantine spoken,,4,anl,apc,{},33.75,36.0,Eurasia,,Arabic (North Levantine Spoken),112,False,False
arabic palestinian,,4,apa,ajp,{},32.0,35.25,Eurasia,,Arabic (Palestinian),121,False,False
arabic sanani,,4,ars,ayn,{},16.0,44.0,Eurasia,,Arabic (San'ani),147,False,False
arabic syrian,,4,asy,apc,{},34.0,38.0,Eurasia,,Arabic (Syrian),159,False,False
arabic tunisian,,4,atu,aeb,{},36.75,10.25,Africa,,Arabic (Tunisian),169,False,False
arakanese marma,,20,akm,rmz,{},21.5,92.5,Eurasia,,Arakanese (Marma),66,False,False
araki,,25,ark,akr,{},-15.6666666667,166.916666667,Papunesia,,Araki,139,False,False
aralletabulahan,,87,atb,atq,{},-2.75,119.25,Papunesia,,Aralle-Tabulahan,161,False,False
arandai,,80,ard,jbj,{},-2.08333333333,133.0,Papunesia,,Arandai,134,False,False
araona,,66,ana,aro,{},-12.3333333333,-67.75,South America,,Araona,106,False,True
arapaho,,13,aho,arp,{},40.0,-103.0,North America,,Arapaho,50,False,False
arapesh abu,,1,aab,,{},-3.45,142.95,,,Arapesh (Abu),1,False,False
arapesh mountain,,1,arp,ape,{},-3.46666666667,143.166666667,Papunesia,,Arapesh (Mountain),144,True,True
arawak,,78,ara,arw,{},5.5,-55.1666666667,South America,,Arawak,131,False,False
arbore,,10,abo,arv,{},5.0,36.75,Africa,,Arbore,12,False,False
archi,,32,arc,aqc,{},42.0,46.8333333333,Eurasia,,Archi,133,False,False
areare,,25,arx,alu,{},-9.25,161.166666667,Papunesia,,'Are'are,150,False,False
aribwatsa,,25,ari,laz,{},-6.71666666667,147.0,Papunesia,,Aribwatsa,137,False,False
arikara,,44,akr,ari,{},45.5,-100.5,North America,,Arikara,69,False,False
armenian eastern,,81,arm,hye,{},40.0,45.0,Eurasia,,Armenian (Eastern),141,False,True
armenian iranian,,81,arz,hye,{},32.6666666667,51.6666666667,Eurasia,,Armenian (Iranian),151,False,False
armenian western,,81,arw,hye,{},38.5,43.5,Eurasia,,Armenian (Western),149,False,False
aroplokep,,25,alk,apr,{},-5.38333333333,147.05,Papunesia,,Arop-Lokep,77,False,False
arosi,,25,aro,aia,{},-10.25,161.333333333,Papunesia,,Arosi,143,False,False
arrernte,,9,arr,"aer, are",{},-24.0,134.0,Australia,,Arrernte,146,False,False
arrernte mparntwe,,9,amp,aer,{},-24.0,136.0,Australia,,Arrernte (Mparntwe),98,False,False
arrernte western,,9,awe,are,{},-24.0,132.5,Australia,,Arrernte (Western),180,False,False
asmat,,82,asm,tml,{},-5.5,138.5,Papunesia,,Asmat,154,True,True
assamese,,84,ass,asm,{},26.0,93.0,Eurasia,,Assamese,156,False,False
asturian,,85,ast,ast,{},43.25,-6.0,Eurasia,,Asturian,157,False,False
asurini,,16,asu,asu,{},-3.5,-49.5,South America,,Asuriní,158,False,False
atacameno,,90,atm,kuz,{},-23.0,-69.0,South America,,Atacameño,166,False,False
atakapa,,89,atk,aqp,{},30.0,-93.5,North America,,Atakapa,165,False,False
atayal,,86,ata,tay,{},24.5,121.333333333,Papunesia,,Atayal,160,False,False
atchin,,25,atc,upv,{},-16.0,167.333333333,Papunesia,,Atchin,162,False,False
athpare,,88,ath,aph,{},27.0,87.3333333333,Eurasia,,Athpare,163,False,False
atikamekw,,13,ati,atj,{},48.0,-74.0,North America,,Atikamekw,164,False,False
atsugewi,,19,ats,atw,{},40.75,-121.0,North America,,Atsugewi,168,False,False
au,,92,au,avt,{},-3.58333333333,142.083333333,Papunesia,,Au,170,False,False
aulua,,25,aul,aul,{},-16.3333333333,167.666666667,Papunesia,,Aulua,171,False,False
auslan,,23,aus,asf,{},-30.0,145.0,Australia,,Auslan,172,False,False
auyana,,28,auy,auy,{},-6.5,145.75,Papunesia,,Auyana,173,False,False
avar,,74,ava,ava,{},42.5,46.5,Eurasia,,Avar,174,False,False
avatime,,5,avt,avn,{},6.83333333333,0.416666666667,Africa,,Avatime,177,False,False
avikam,,5,avk,avi,{},5.16666666667,-5.5,Africa,,Avikam,175,False,False
avokaya,,93,avo,avu,{},4.66666666667,30.0,Africa,,Avokaya,176,False,False
awa,,28,awa,awb,{},-6.66666666667,145.75,Papunesia,,Awa,178,False,False
awadhi,,84,awd,awa,{},27.5,81.5,Eurasia,,Awadhi,179,False,False
awa pit,,96,awp,kwi,{},1.5,-78.25,South America,,Awa Pit,184,False,True
awngi,,95,awn,awn,{},10.8333333333,36.6666666667,Africa,,Awngi,183,False,False
awtuw,,97,awt,kmn,{},-3.58333333333,142.0,Papunesia,,Awtuw,185,False,False
awyi,,61,awy,auw,{},-2.91666666667,140.583333333,Papunesia,,Awyi,186,False,False
ayiwo,,25,ayw,nfl,{},-10.3333333333,166.25,Papunesia,,Ayiwo,193,False,False
aymara central,,98,aym,ayc,{},-17.0,-69.0,South America,,Aymara (Central),189,False,True
aynu,,83,ayn,aib,{},39.5,76.0,Eurasia,,Aynu,190,False,False
ayoman,,99,ayo,,{},11.0,-69.0,,,Ayomán,191,False,False
ayoreo,,100,ayr,ayo,{},-20.25,-59.25,South America,,Ayoreo,192,False,False
azari iranian,,83,azi,azb,{},37.5,47.0,Eurasia,,Azari (Iranian),195,False,False
azerbaijani,,83,aze,"azb, azj",{},40.5,48.5,Eurasia,,Azerbaijani,194,False,False
baale,,140,blj,koe,{},6.5,34.5,Africa,,Baale,289,False,False
babole,,31,bbl,bvx,{},1.08333333333,17.25,Africa,,Babole,218,False,False
babungo,,31,bab,bav,{},6.11666666667,10.4166666667,Africa,,Babungo,197,False,False
bachamal,,102,bac,wdj,{},-13.1666666667,130.166666667,Australia,,Bachamal,198,False,False
badaga,,116,bdg,bfq,{},11.6666666667,76.75,Eurasia,,Badaga,226,False,False
bade,,67,bad,bde,{},12.8333333333,10.5,Africa,,Bade,199,False,False
badimaya,,117,bdm,bia,{},-27.6666666667,118.0,Australia,,Badimaya,228,False,False
bafia,,31,bfi,ksf,{},5.0,11.1666666667,Africa,,Bafia,245,False,False
bafut,,31,baf,bfd,{},6.25,9.91666666667,Africa,,Bafut,201,False,False
baga sitemu,,128,bgs,bsp,{},10.5,-14.5,Africa,,Baga Sitemu,254,False,False
bagirmi,,103,bag,bmi,{},11.6666666667,16.0,Africa,,Bagirmi,202,True,True
bagiro,,103,bgr,fuu,{},4.33333333333,20.5833333333,Africa,,Bagiro,253,False,False
bagri,,84,bgi,bgq,{},29.5833333333,74.3333333333,Eurasia,,Bagri,248,False,False
bagvalal,,74,bgv,kva,{},42.5833333333,46.1666666667,Eurasia,,Bagvalal,255,False,False
baham,,118,bdw,bdw,{},-3.16666666667,132.666666667,Papunesia,,Baham,230,False,False
bahinemo,,46,bhn,bjh,{},-4.58333333333,142.833333333,Papunesia,,Bahinemo,258,False,False
bahnar,,157,bpb,bdq,{},13.8333333333,108.333333333,Eurasia,,Bahnar,335,False,False
bai,,105,bai,bca,{},26.0,100.0,Eurasia,,Bai,204,False,False
bajau sama,,106,baj,bdl,{},-4.33333333333,123.0,Papunesia,,Bajau (Sama),205,False,False
bajau west coast,,106,bwc,bdr,{},6.33333333333,116.333333333,Papunesia,,Bajau (West Coast),399,False,False
baka in cameroon,,107,bak,bkc,{},2.58333333333,13.5833333333,Africa,,Baka (in Cameroon),206,False,False
baka in south sudan,,103,bka,bdh,{},4.83333333333,29.25,Africa,,Baka (in South Sudan),276,False,False
bakairi,,45,bki,bkq,{},-14.0,-55.0,South America,,Bakairí,279,False,False
bakueri,,31,bku,bri,{},4.25,9.25,Africa,,Bakueri,284,False,False
bakundu,,31,bkn,bdu,{},4.83333333333,9.33333333333,Africa,,Bakundu,281,False,False
balangao,,139,blg,blw,{},17.1666666667,121.166666667,Papunesia,,Balangao,288,False,False
balanta,,143,blz,"bjt, ble",{},12.25,-15.3333333333,Africa,,Balanta,298,False,False
balantak,,124,blk,blz,{},-0.833333333333,123.25,Papunesia,,Balantak,290,False,False
balinese,,14,bal,ban,{},-8.33333333333,115.25,Papunesia,,Balinese,207,False,False
balivitu,,25,bvi,"bbn, wiv",{},-4.9,149.116666667,Papunesia,,Bali-Vitu,397,False,False
balti,,56,blt,bft,{},35.0,76.0,Eurasia,,Balti,294,False,False
baluchi,,138,blc,bgp,{},28.0,62.0,Eurasia,,Baluchi,286,False,False
balyku,,117,bly,nad,{},-22.0,120.0,Australia,,Balyku,297,False,False
bambam,,87,bbm,ptu,{},-3.08333333333,119.083333333,Papunesia,,Bambam,219,False,False
bambara,,108,bam,bam,{},12.5,-7.5,Africa,,Bambara,208,False,True
bamun,,31,bmn,bax,{},5.5,10.9166666667,Africa,,Bamun,301,False,False
bana,,109,ban,bcw,{},10.4166666667,13.5833333333,Africa,,Bana,209,False,False
banawa,,146,bna,jaa,{},-7.0,-65.0,South America,,Banawá,304,False,False
bandi,,108,bnd,bza,{},8.08333333333,-10.25,Africa,,Bandi,306,False,False
bandjalang,,113,bnj,bdy,{},-28.75,153.0,Australia,,Bandjalang,309,False,False
bandjalang casino,,113,bca,bdy,{},-28.9166666667,153.0,Australia,,Bandjalang (Casino),222,False,False
bandjalang waalubal,,113,bwa,bdy,{},-29.0833333333,152.583333333,Australia,,Bandjalang (Waalubal),398,False,False
bandjalang yugumbir,,113,byu,bdy,{},-27.9166666667,153.0,Australia,,Bandjalang (Yugumbir),403,False,False
banggai,,124,bgg,bgz,{},-1.41666666667,123.166666667,Papunesia,,Banggai,247,False,False
banggarla,,9,bnl,bjb,{},-32.0,137.0,Australia,,Banggarla,311,False,False
banggi,,119,bgz,bdg,{},7.25,117.166666667,Papunesia,,Banggi,256,False,False
bangime,,126,bgm,dba,{},14.9166666667,-3.83333333333,Africa,,Bangime,250,False,False
baniva,,152,bnv,bvv,{},5.26,-67.56,South America,,Baniva,319,False,False
baniwa,,153,bnw,bwi,{},2.66666666667,-66.8333333333,South America,,Baniwa,320,False,False
bankon,,31,bnk,abb,{},4.41666666667,9.58333333333,Africa,,Bankon,310,False,False
banoni,,25,bnn,bcm,{},-6.41666666667,155.25,Papunesia,,Banoni,313,False,False
bantik,,151,bnt,bnq,{},1.41666666667,124.75,Papunesia,,Bantik,317,False,False
baoan,,110,bao,peh,{},35.75,102.833333333333,Eurasia,,Bao'an,210,False,False
baragaunle,,56,brl,loy,{},28.8333333333,83.8333333333,Eurasia,,Baragaunle,356,False,False
barai,,101,baa,"bbb, nvm",{},-9.33333333333,148.083333333,Papunesia,,Barai,196,False,False
barambu,,107,bbu,brm,{},3.5,27.0,Africa,,Barambu,220,False,False
barasano,,150,brs,bsn,{},-0.166666666667,-70.6666666667,South America,,Barasano,363,True,True
bardi,,161,brd,bcj,{},-16.5833333333,122.916666667,Australia,,Bardi,349,False,False
bare,,15,bae,bae,{},1.0,-67.0,South America,,Baré,200,False,False
bargam,,57,mug,mlp,{},-4.88333333333,145.75,Papunesia,,Bargam,1601,False,False
bari,,18,bar,bfa,{},5.0,31.6666666667,Africa,,Bari,212,False,False
bari,,430,mti,mot,{},9.0,-73.0,South America,,Barí,1591,False,False
bariba,,159,brb,bba,{},10.0,2.5,Africa,,Bariba,347,False,False
barupu,,165,brp,wra,{},-3.08333333333,142.083333333,Papunesia,,Barupu,360,False,False
baruya,,73,bry,byr,{},-6.91666666667,145.916666667,Papunesia,,Baruya,366,False,False
basaa,,31,bas,bas,{},3.91666666667,10.5,Africa,,Basaá,213,False,False
basari,,168,bsr,bsc,{},12.6666666667,-13.0,Africa,,Basari,376,False,False
bashkir,,83,bsk,bak,{},53.0,58.0,Eurasia,,Bashkir,371,False,False
basque,,158,bsq,eus,{},43.0,-3.0,Eurasia,,Basque,375,True,True
basque basaburua and imoz,,158,bqi,eus,{},43.0,-1.66666666667,Eurasia,,Basque (Basaburua and Imoz),339,False,False
basque bidasoa valley,,158,bqb,eus,{},43.0,-3.83333333333,Eurasia,,Basque (Bidasoa Valley),336,False,False
basque gernica,,158,bqg,eus,{},43.3333333333,-3.0,Eurasia,,Basque (Gernica),337,False,False
basque hondarribia,,158,bqh,eus,{},42.5,-3.0,Eurasia,,Basque (Hondarribia),338,False,False
basque lekeitio,,158,bql,eus,{},43.0,-2.5,Eurasia,,Basque (Lekeitio),340,False,False
basque northern high navarrese,,158,bqn,eus,{},43.3333333333,-2.5,Eurasia,,Basque (Northern High Navarrese),341,False,False
basque onati,,158,bqo,eus,{},42.5,-3.5,Eurasia,,Basque (Oñati),342,False,False
basque roncalese,,158,bqr,eus,{},43.0,-2.0,Eurasia,,Basque (Roncalese),343,False,False
basque sakana,,158,bqs,eus,{},42.5,-2.0,Eurasia,,Basque (Sakana),344,False,False
basque souletin,,158,bso,eus,{},43.5,-1.5,Eurasia,,Basque (Souletin),374,False,False
basque zeberio,,158,bqz,eus,{},42.0,-3.0,Eurasia,,Basque (Zeberio),345,False,False
batak,,30,bat,bya,{},10.25,119.083333333,Papunesia,,Batak,214,False,False
batak karo,,53,bkr,btx,{},3.25,98.25,Papunesia,,Batak (Karo),282,False,True
batak toba,,53,bto,bbc,{},2.5,99.0,Papunesia,,Batak (Toba),380,False,False
bathari,,4,bth,bhm,{},18.0,56.0,Eurasia,,Bathari,377,False,False
bau,,57,bau,bbd,{},-5.25,145.616666667,Papunesia,,Bau,215,False,False
baule,,5,ble,bci,{},7.0,-5.0,Africa,,Baule,287,False,False
baure,,111,baq,brg,{},-13.0833333333,-64.1666666667,South America,,Baure,211,False,False
bauzi,,173,bzi,bvz,{},-2.5,137.5,Papunesia,,Bauzi,404,False,False
bawm,,33,baw,bgr,{},22.5,92.25,Eurasia,,Bawm,216,False,True
bayso,,10,bys,bsw,{},6.25,37.75,Africa,,Bayso,402,False,False
bayungu,,117,bxj,bxj,{},-23.0,114.0,Australia,,Bayungu,400,False,False
beembe,,31,bee,beq,{},-3.91666666667,14.0833333333,Africa,,Beembe,233,False,False
begakidaan,,119,beg,dbj,{},5.25,118.833333333,Papunesia,,Begak-Ida'an,234,False,False
beja,,120,bej,bej,{},18.0,36.0,Africa,,Beja,235,False,True
belhare,,88,bel,byw,{},26.9666666667,87.3,Eurasia,,Belhare,236,False,False
bella coola,,115,bco,blc,{},52.5,-126.666666667,North America,,Bella Coola,224,False,False
belorussian,,141,blr,bel,{},54.0,28.0,Eurasia,,Belorussian,293,False,False
bemba,,31,bem,bem,{},-10.0,28.25,Africa,,Bemba,237,False,False
benabena,,28,beb,bef,{},-6.16666666667,145.5,Papunesia,,Benabena,231,False,False
benalulua,,31,blu,lua,{},-6.0,21.0,Africa,,Bena-Lulua,295,False,False
beng,,136,bnq,nhb,{},7.83333333333,-4.25,Africa,,Beng,315,False,False
benga,,31,bga,bng,{},1.16666666667,9.41666666667,Africa,,Benga,246,False,False
bengali,,84,ben,ben,{},24.0,90.0,Eurasia,,Bengali,238,False,False
bengali chittagong,,84,bec,ctg,{},22.3333333333,91.8333333333,Eurasia,,Bengali (Chittagong),232,False,False
beothuk,,121,beo,bue,{},48.0,-57.0,North America,,Beothuk,239,False,False
bera,,31,brq,brf,{},1.5,30.03,Africa,,Bera,361,False,False
berber ayt seghrouchen middle atlas,,114,bse,tzm,{},33.3333333333,-4.66666666667,Africa,,Berber (Ayt Seghrouchen Middle Atlas),368,False,False
berber chaouia,,114,bch,shy,{},35.0,7.0,Africa,,Berber (Chaouia),223,False,False
berber figuig,,114,bfg,,{},32.5,-1.5,,,Berber (Figuig),244,False,False
