include,id,nature,category,tags,species,species by,subspecies,species syn,species syn by,species alt,wyk name,amar name,hu name,other name,wikipedia,POWO,GBIF,family,part used,region of origin,country,lat,lon,source,year recorded in TCM,macroarea,range,native regions,no. of native regions,introduced regions,no. of introduced regions,total regions,spreadability,cultivation,color,usage,pharmaceutical,pharma en,TCM,TCM DB,TCM name,TCM pinyin,desc,medicinal group,meridian,action,Hu zh,Ayurveda,Words,Britannica,Notes,English,En alt,Plant name,Chinese WN,Chinese simp,Chinese,Ch transliteration,Jyutping,Ch literal,Ch alt,Arabic,Ar transliteration,Ar literal,Ar alt,Hungarian,Hu literal,Hu alt,Hu notes,Hindi,Hi transliteration,Hi literal,Hi alt ,Indonesian,Malay,Persian,FOC,taste/smell,heat,Major uses,Culinary,Medicinal,Köhler,Wyk,Hu,Hu en,Extra,sym,hu_1990,IPNI,TPL,TROP,EOL,WFO,NCBI,NCBI id
out,Divaricate Saposhnikovia Root,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Saposhnikoviae Radix,Divaricate Saposhnikovia Root,yes,polyu-tcm,防風,fángfēng,Dried root of Saposhnikovia divaricata (Turcz.) Schischk. (Fam. Apiaceae),Wind-cold-dispersing medicinal,"pungent, sweet; warm","Liver, Spleen, Bladder",,,,,,,,,,,防風,fángfēng,fong4 fung1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Dodder Seed,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Cuscutae Semen,Dodder Seed,yes,polyu-tcm,菟絲子,tùsīzǐ,Dried ripe seed of Cuscuta chinensis Lam. (Fam. Convolvulaceae),Yang-tonifying medicinal,sweet; warm,"Liver, Spleen, Kidney",,,,,,,,,,,菟絲子,tùsīzǐ,? si1 zi2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Dogbane Leaf,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Apocyni Veneti Folium,Dogbane Leaf,yes,polyu-tcm,羅布麻葉,luóbùmáyè,Dried leaf of Apcocynum venetum L. (Fam. Apocynaceae),Liver-pacifying and wind-extinguishing medicinal,"sweet, bitter; cool",Liver,,,,,,,,,,,羅布麻葉,luóbùmáyè,lo4 bou3 maa4 jip6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Donkey-hide Glue,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Corii Asini Colla,Donkey-hide Glue,yes,polyu-tcm,阿膠,ājiāo,Solid glue prepared from the dried or fresh skin of Equus asinus L. (Fam. Equidae),Blood-tonifying medicinal,sweet; neutral,"Lung, Liver, Kidney",,,,,,,,,,,阿膠,ājiāo,o1 gaau1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Doubleteeth Pubescent Angelica Root,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Angelicae Pubescentis Radix,Doubleteeth Pubescent Angelica Root,yes,polyu-tcm,獨活,dúhuó,Dried root of Angelica pubescens Maxim. f. biserrata Shan et Yuan (Fam. Apiaceae),Wind-dampness-dispelling and cold-dispersing medicinal,"pungent, bitter; slightly warm","Kidney, Bladder",,,,,,,,,,,獨活,dúhuó,duk6 wut6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,dragon's blood,,medicine,,Calamus draco,Willb.,,Daemonorops draco,Bl.,,,,,,,https://powo.science.kew.org/taxon/665061-1,,Arecaceae,resin,Sumatra,Indonesia,-1,101,hu_history_1990,659,Asia,Indonesia,Sumatera,1,,1,2.0,1.0,,blood red,,Draconis Sanguis,,yes,polyu-tcm,血竭,xiějié,Prepared resin of the fruit of Daemonorops draco Bl. (Fam. Palmae),Blood-activating trauma-curing medicinal,"sweet, salty; neutral","Liver, Heart",,,,,,,,,,,血竭,xiějié,hyut3 kit3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,
out,Dried Tangerine Peel,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Citri Reticulatae Pericarpium,Dried Tangerine Peel,yes,polyu-tcm,陳皮,chénpí,Dried pericarp of the ripe fruit of Citrus reticulata Blanco or its cultivars (Fam. Rutaceae),Qi-regulating medicinal,"pungent, bitter; warm","Spleen, Lung",,,,,,,,,,,陳皮,chénpí,can4 pei4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Dwarf Lilyturf Tuber,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Ophiopogonis Radix,Dwarf Lilyturf Tuber,yes,polyu-tcm,麥冬,màidōng,Dried root tuber of Ophiopogon japonicus (Thunb.) Ker-Gawl. (Fam. Liliaceae),Yin-tonifying medicinal,"slightly bitter, sweet; slightly cold","Heart, Lung, Stomach",,,,,,,,,,,麥冬,màidōng,mak6 dung1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Dyers Woad Leaf,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Isatidis Folium,Dyers Woad Leaf,yes,polyu-tcm,大青葉,dàqīngyè,Dried leaf of Isatis indigotica Fort. (Fam. Cruciferae),Heat-clearing and detoxicating medicinal,bitter; cold,"Heart, Stomach",,,,,,,,,,,大青葉,dàqīngyè,daai6 cing1 ceng1 jip6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Earthworm,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Pheretima,Earthworm,yes,polyu-tcm,地龍,dìlóng,"Dried body of Pheretima aspergillum (E.Perrier), Pheretima vulgaris Chen, Pheretima guillelmi (Michaelsen) or Pheretima pectinifera Michaelsen (Fam. Megascolecidae)",Liver-pacifying and wind-extinguishing medicinal,salty; cold,"Liver, Spleen, Bladder",,,,,,,,,,,地龍,dìlóng,dei6 lung4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,English Walnut Seed,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Juglandis Semen,English Walnut Seed,yes,polyu-tcm,核桃仁,hétáorén,Dried ripe seed of Juglans regia L. (Fam. Juglandaceae),Yang-tonifying medicinal,sweet; warm,"Kidney, Lung, Large intestine",,,,,,,,,,,核桃仁,hétáorén,hat6 wat6 tou4 jan4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Ephedra,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Ephedrae Herba,Ephedra,yes,polyu-tcm,麻黃,máhuáng,Dried herbaceous stem of Ephedra sinica Stapf. Ephedra intermedina Bge. (Fam. Ephedraceae),Wind-cold-dispersing medicinal,"pungent, slightly bitter; warm","Lung, Bladder",,,,,,,,,,,麻黃,máhuáng,maa4 wong4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Ephedra Root,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Ephedrae Radix et Rhizoma,Ephedra Root,yes,polyu-tcm,麻黃根,máhuánggēn,Dried root and rhizome of Ephedra sinica Stapf or Ephedra intermedia Schrenk et C.A.Mey. (Fam. Ephedraceae),Astringent medicinal,sweet; neutral,"Heart, Lung",,,,,,,,,,,麻黃根,máhuánggēn,maa4 wong4 gan1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Epimedium Herb,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Epimedii Herba,Epimedium Herb,yes,polyu-tcm,淫羊藿,yínyánghuò,"Dried aerial part of Epimedium brevicornum Maxim., Epimedium sagittatum (Sieb. et Zucc.) Maxim., Epimedium pubescens Maxim., Epimedium wushanense T.S. Ying or Epimedium koreanum Nakai (Fam. Berberidaceae)",Yang-tonifying medicinal,"pungent, sweet; warm","Liver, Kidney",,,,,,,,,,,淫羊藿,yínyánghuò,jam4 joeng4 ? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Ethiopian cardamom,,,,Aframomum corrorima,,,,,,Ethiopian cardamom; korarima,,,,,,,Zingiberaceae,seed,Trop NE Afr,,,,van_wyk_culinary_2014,,,,,1,,1,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Eucommia Bark,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Eucommiae Cortex,Eucommia Bark,yes,polyu-tcm,杜仲,dùzhòng,Dried stem bark of Eucommia ulmoides Oliv. (Fam. Eucommiaceae),Yang-tonifying medicinal,sweet; warm,"Liver, Kidney",,,,,,,,,,,杜仲,dùzhòng,dou6 zung6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,European Verbena Herb,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Verbenae Herba,European Verbena Herb,yes,polyu-tcm,馬鞭草,mǎbiāncǎo,Dried aerial part of Verbena officinalis L. (Fam. Verbenaceae),Blood-activating trauma-curing medicinal,bitter; cool,"Liver, Spleen",,,,,,,,,,,馬鞭草,mǎbiāncǎo,maa5 bin1 cou2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Exsiccated Sodium Sulfate,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Natrii Sufas Exsiccatus,Exsiccated Sodium Sulfate,yes,polyu-tcm,玄明粉,xuánmíngfěn,"Obtained from Glauber's salts by efflorescencing, containing mainly sodium sulfate (Na2SO4)",Heat-clearing and detoxicating medicinal,"salty, bitter; cold","Stomach, Large intestine",,,,,,,,,,,玄明粉,xuánmíngfěn,jyun4 ming4 fan2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Feather Cockscomb Seed,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Celosiae Semen,Feather Cockscomb Seed,yes,polyu-tcm,青葙子,qīngxiāngzǐ,Dried ripe seed of Celosia argentea L. (Fam. Amaranthaceae),Heat-clearing and fire-purging medicinal,bitter; slightly cold,Liver,,,,,,,,,,,青葙子,qīngxiāngzǐ,cing1 ceng1 ? zi2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Fermented Soybean,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Sojae Praeparatum Semen,Fermented Soybean,yes,polyu-tcm,淡豆豉,dàndòuchǐ,Fermented preparation obtain from the ripe seed Glycine max (L.) Merr. (Fam. Fabaceae),Wind-heat dispersing medicinal,"pungent, bitter; cool","Lung, Stomach",,,,,,,,,,,淡豆豉,dàndòuchǐ,taam5 dau6 dau2 si6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,field mustard,,spcie,,Brassica rapa,L.,,,,,,,,,,https://powo.science.kew.org/taxon/279485-1,,Brassicaceae,seed,Eur,,39,35,hu_history_1990,659,Eurasia,"Central & E. Medit. to Iran and Arabian Peninsula, NE. Tropical Africa","Albania, Algeria, Bulgaria, Eritrea, Ethiopia, Greece, Iran, Iraq, Italy, Kriti, Lebanon-Syria, Libya, Morocco, North Caucasus, Oman, Palestine, Saudi Arabia, Transcaucasus, Tunisia, Turkey, Yugoslavia",21,"Alabama, Alaska, Alberta, Aleutian Is., Altay, Amur, Andaman Is., Argentina Northeast, Argentina Northwest, Argentina South, Arizona, Arkansas, Assam, Azores, Baleares, Baltic States, Bangladesh, Belarus, Belgium, Bolivia, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, British Columbia, Buryatiya, California, Cambodia, Cape Provinces, Cayman Is., Central European Rus, Chile Central, Chile North, Chile South, China North-Central, China South-Central, China Southeast, Chita, Colombia, Colorado, Comoros, Connecticut, Cook Is., Corse, Costa Rica, Cuba, Czechoslovakia, Delaware, Denmark, District of Columbia, Dominican Republic, East European Russia, Ecuador, Egypt, El Salvador, Falkland Is., Finland, Florida, France, Free State, Føroyar, Galápagos, Georgia, Germany, Gilbert Is., Great Britain, Guatemala, Haiti, Hawaii, Honduras, Hungary, Idaho, Illinois, India, Indiana, Iowa, Ireland, Irkutsk, Juan Fernández Is., Kamchatka, Kansas, Kazakhstan, Kentucky, Kenya, Khabarovsk, Kirgizstan, Korea, Krasnoyarsk, Krym, Kuril Is., Kuwait, Labrador, Leeward Is., Line Is., Louisiana, Madeira, Magadan, Maine, Manitoba, Marianas, Marshall Is., Maryland, Massachusetts, Mauritius, Mexico Central, Mexico Northeast, Mexico Northwest, Mexico Southwest, Michigan, Minnesota, Mississippi, Missouri, Montana, Mozambique, Nebraska, Nepal, Netherlands, Nevada, New Brunswick, New Caledonia, New Hampshire, New Jersey, New Mexico, New South Wales, New York, New Zealand North, New Zealand South, Newfoundland, Nicaragua, Nicobar Is., North Carolina, North Dakota, North European Russi, Northern Provinces, Northern Territory, Northwest European R, Northwest Territorie, Norway, Nova Scotia, Ohio, Oklahoma, Ontario, Oregon, Pakistan, Panamá, Paraguay, Pennsylvania, Peru, Poland, Primorye, Prince Edward I., Puerto Rico, Québec, Rhode I., Romania, Rwanda, Réunion, Sakhalin, Sardegna, Saskatchewan, Sicilia, Society Is., Solomon Is., South Australia, South Carolina, South China Sea, South Dakota, South European Russi, Spain, Sweden, Switzerland, Tadzhikistan, Taiwan, Tanzania, Tasmania, Tennessee, Texas, Trinidad-Tobago, Tristan da Cunha, Tuamotu, Turkmenistan, Tuva, Uganda, Ukraine, Uruguay, Utah, Uzbekistan, Vermont, Victoria, Vietnam, Virginia, Washington, West Himalaya, West Siberia, West Virginia, Western Australia, Windward Is., Wisconsin, Wyoming, Yakutskiya, Yukon, Zimbabwe",202,223.0,9.619047619047619,,,,,,,,蕓薹子,yúntáizǐ,,,,,,,,,,,,,,,蕓薹,yúntái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,
out,Field Thistle Herb,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Cirsii Herba,Field Thistle Herb,yes,polyu-tcm,小薊,xiǎojì,Dried aerial part of Cirsium setosum (Willd.) MB. (Fam. Compositae),Blood-cooling hemostatic medicinal,"sweet, bitter; cool","Heart, Liver",,,,,,,,,,,小薊,xiǎojì,siu2 gai3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,fig,,fruit,,Ficus carica,L.,,,,,,,,,,https://powo.science.kew.org/taxon/852556-1,,Moraceae,fruit,Med,Iran,36,51,hu_history_1990,1407,Asia,E. Medit. to Central Asia and Afghanistan,"Afghanistan, Cyprus, Greece, Iran, Iraq, Kriti, Lebanon-Syria, North Caucasus, Pakistan, Palestine, Tadzhikistan, Transcaucasus, Turkey, Turkmenistan, West Himalaya",15,"Alabama, Albania, Algeria, Andaman Is., Arkansas, Austria, Azores, Baleares, Bangladesh, Bermuda, Bulgaria, California, Canary Is., Cape Verde, Caroline Is., Chad, China North-Central, China South-Central, China Southeast, Corse, Czechoslovakia, Denmark, East Aegean Is., Easter Is., Ecuador, Egypt, El Salvador, Eritrea, Florida, France, Germany, Gilbert Is., Great Britain, Gulf of Guinea Is., Gulf States, Hungary, India, Italy, Juan Fernández Is., Korea, Krym, Libya, Line Is., Madeira, Marianas, Marshall Is., Maryland, Massachusetts, Mauritius, Mexico Central, Mexico Southwest, Morocco, New Mexico, New York, New Zealand North, New Zealand South, Nicobar Is., Niger, Norfolk Is., North Carolina, Oman, Peru, Portugal, Réunion, Sardegna, Saudi Arabia, Sicilia, Sinai, Somalia, South Carolina, Spain, Sweden, Switzerland, Tokelau-Manihiki, Tristan da Cunha, Tunisia, Turkey-in-Europe, Uzbekistan, Wake I., Western Sahara, Xinjiang, Yemen, Yugoslavia",83,98.0,5.533333333333333,,,,,,,,,,,,,,,,,,,,,,,,無花果,wú​huā​guǒ,,no-flower-fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,
out,Figwort Root,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Scrophulariae Radix,Figwort Root,yes,polyu-tcm,玄參,xuáncān,Dried root of Scrophularia ningpoensis Hemsl. (Fam. Scrophulariaceae),Heat-clearing and blood-cooling medicinal,"sweet, bitter, salty; slightly cold","Lung, Kidney, Stomach",,,,,,,,,,,玄參,xuáncān,jyun4 sam1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Figwortflower Picrorhiza Rhizome,,medicine,,,,,,,,,,,,,https://powo.science.kew.org/taxon/914299-1,,,,,,,,polyu_chinese_2020,,,Himalaya to China S.W.,,,,,,,,,,Picrorhizae Rhizoma,Figwortflower Picrorhiza Rhizome,yes,polyu-tcm,胡黃連,húhuánglián,Dried rhizome of Picrorhiza scrophulariiflora Pennell (Fam. Scrophulariaceae),Deficiency heat-clearing medicinal,bitter; cold,"Liver, Stomach, Large intestine",,,,,,,,,,,胡黃連,húhuánglián,wu4 wong4 lin4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,filé,,,,Sassafras albidum,Britannica,,,,,sassafras; filé powder,,,,,,,Lauraceae,leaf,N Am,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Fineleaf Schizonepeta Spike,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Schizonepetae Spica,Fineleaf Schizonepeta Spike,yes,polyu-tcm,荊芥穗,jīngjièsùi,Dried fruit-spike of Schizonepeta tenuisfolia Briq. (Fam. Labiatae),Wind-cold-dispersing medicinal,pungent; slightly warm,"Liver, Lung",,,,,,,,,,,荊芥穗,jīngjièsùi,ging1 gaai3 seoi6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Finger Citron,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Citri Sarcodactylis Fructus,Finger Citron,yes,polyu-tcm,佛手,fóshǒu,Dried fruit of Citrus medica L. var. sarcodactylis Swingle (Fam. Rutaceae),Qi-regulating medicinal,"pungent, bitter, sour; warm","Liver, Spleen, Lung",,,,,,,,,,,佛手,fóshǒu,fat6 sau2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Flatstem Milkvetch Seed,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Astragali Complanati Semen,Flatstem Milkvetch Seed,yes,polyu-tcm,沙苑子,shāyuànzǐ,Dried ripe seed of Astragalus complanatus R.Br. (Fam. Fabaceae),Yang-tonifying medicinal,sweet; warm,"Liver, Kidney",,,,,,,,,,,沙苑子,shāyuànzǐ,saa1 jyun2 zi2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,flax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Fluorite,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Fluoritum,Fluorite,yes,polyu-tcm,紫石英,zǐshíyīng,"Mineral of florides of fluoride group, containing mainly calcium fluoride (CaF2)",Settling tranquillizing medicinal,sweet; warm,"Heart, Lung, Kidney",,,,,,,,,,,紫石英,zǐshíyīng,zi2 sek6 jing1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Fortune Eupatorium Herb,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Eupatorii Herba,Fortune Eupatorium Herb,yes,polyu-tcm,佩蘭,pèilán,Dried aerial part of Eupatorium fortunei Turcz. (Fam. Compositae),Dampness-resolving medicinal,pungent; neutral,"Spleen, Stomach, Lung",,,,,,,,,,,佩蘭,pèilán,pui3 laan4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Fortune Windmillpalm Petiole,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Trachycarpi Petiolus,Fortune Windmillpalm Petiole,yes,polyu-tcm,棕櫚,zōnglv́,Dried petiole of Trachycar fortunei (Hook. f.) H. Wendl. (Fam. Palmae),Astringent hemostatic medicinal,"bitter, astringent; neutral","Lung, Liver, Large intestine",,,,,,,,,,,棕櫚,zōnglv́,zung1 leoi4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Fortune's Drynaria Rhizome,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Drynariae Rhizoma,Fortune's Drynaria Rhizome,yes,polyu-tcm,骨碎補,gǔsùibǔ,Dried rhizome of Drynaria fortunei (Kunze) J.Sm. (Fam. Polypodiaceae),Blood-activating trauma-curing medicinal,bitter; warm,"Liver, Kidney",,,,,,,,,,,骨碎補,gǔsùibǔ,gwat1 seoi3 bou2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Fourleaf Ladybell Root,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Adenophorae Radix,Fourleaf Ladybell Root,yes,polyu-tcm,南沙參,nánshācān,Dried root of Adenophora tetraphylla (Thunb.) Fisch. or Adenophora stricta Miq. (Fam. Campanulaceae),Yin-tonifying medicinal,sweet; slightly cold,"Lung, Stomach",,,,,,,,,,,南沙參,nánshācān,naam4 saa1 sam1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Fourstamen Stephania Root,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Stephaniae Tetrandrae Radix,Fourstamen Stephania Root,yes,polyu-tcm,防己,fángjǐ,Dried root of Stephania tetrandra S. Moore (Fam. Menispermaceae),Wind-dampness-dispelling and heat-clearing medicinal,bitter; cold,"Bladder, Lung",,,,,,,,,,,防己,fángjǐ,fong4 gei2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Fragrant Solomonseal Rhizome,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Polygonati Odorati Rhizoma,Fragrant Solomonseal Rhizome,yes,polyu-tcm,玉竹,yùzhú,Dried rhizome of Polygonatum odoratum (Mill.) Druce (Fam. Liliaceae),Yin-tonifying medicinal,sweet; slightly cold,"Lung, Stomach",,,,,,,,,,,玉竹,yùzhú,juk6 zuk1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Franchet Groundcherry Fruit,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Physalis Calyx Seu Fructus,Franchet Groundcherry Fruit,yes,polyu-tcm,錦燈籠,jǐndēnglóng,Dried persistent calyx or the persistent calyx with fruit of Physalis alkekengi L. var. franchetyii (Mast.) Makino (Fam. Solanaceae),Heat-clearing and detoxicating medicinal,bitter; cold,Lung,,,,,,,,,,,錦燈籠,jǐndēnglóng,gam2 dang1 lung5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,frankincense,,incense,,Boswellia sacra,Flück.,,Boswellia carteri,Birdw.,et al.?,frankincense; olibanum,,,,,https://powo.science.kew.org/taxon/127065-1,,Burseraceae,resin,E. Afr.; S. Ar.,Oman,12,51,hu_history_1990,540,Mid E,"N. & NE. Somalia, S. Yemen to SW. Oman","Oman, Somalia, Yemen",3,,1,4.0,0.3333333333333333,,,,Olibanum,Frankincense,yes,polyu-tcm,乳香,rǔxiāng,Dired resin of the bark of Bowswellia carterii Birdwood or several other species of the same genus (Fam. Burseraceae),Blood-activating analgesic medicinal,"pungent, bitter; warm","Liver, Heart, Spleen",,,,,,frankincense,,,,,乳香,rǔxiāng,jyu5 hoeng1 ,breast/suckle-incense,,لبان,lubān,"gum, resin","l-b-n; labaan is breast; libaan is sucking, nursing",tömjén,,,,,,,,,,صمغ کندر,,,,incense; ritualistic,,,II 175,no,,,samgh kundur,yes,yes,,http://www.theplantlist.org/tpl1.1/record/kew-2680579,,,,,
out,Fresh Ginger,,medicine,,Zingiber officinale,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Zingiberis Rhizoma Recens,Fresh Ginger,yes,polyu-tcm,生薑,shēngjiāng,Fresh rhizome of Zingiber officinale (Willd.) Rosc. (Fam. Zingiberaceae),Wind-cold-dispersing medicinal,pungent; slightly warm,"Spleen, Lung, Stomach",,,,,,,,,,,生薑,shēngjiāng,sang1 saang1 goeng1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,galbanum,,,,Ferula galbaniflua,Boiss. et Buhse.,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II 153,,,,,,,,,,,,,
out,Gambir Plant,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Uncariae cum Uncis Ramulus,Gambir Plant,yes,polyu-tcm,鈎藤,gōuténg,"Dried hook-bearing branch of Uncaria rhynchophylla (Miq.) Jacks., Uncaria macrophylla Wall., Uncaria hirsuta Havil., Uncaria sinensis (Oliv.) Havil. or Uncaria sessilifructus Roxb. (Fam. Rubiaceae)",Liver-pacifying and wind-extinguishing medicinal,sweet; cool,"Liver, Pericardium",,,,,,,,,,,鈎藤,gōuténg,? tang4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Garden Balsam Seed,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Impatientis Semen,Garden Balsam Seed,yes,polyu-tcm,急性子,jíxìngzǐ,Dried ripe seed of Impatiens balsamina L. (Fam. Balsaminaceae),Blood-breaking mass eliminating medicinal,"slightly bitter, pungent; warm; slightly toxic","Lung, Liver",,,,,,,,,,,急性子,jíxìngzǐ,gap1 sing3 zi2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,Garden Burnet Root,,medicine,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,,Sanguisorbae Radix,Garden Burnet Root,yes,polyu-tcm,地榆,dìyú,Dried root of Sanguisorba officinalis L. or Sanguisorba officinals L. var. longifolia (Bert.) Yü et Li (Fam. Rosaceae),Blood-cooling hemostatic medicinal,"bitter, sour, astringent; slightly cold","Liver, Large intestine",,,,,,,,,,,地榆,dìyú,dei6 jyu4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,garlic,,,,Allium sativum,,,,,,garlic,,,,,,,Alliaceae,bulb,C As; W As,,,,van_wyk_culinary_2014,,,,,1,,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
